Geography,Date,Units,BodyType,Private male,Private female,Private unknown,Company,Between keepers,Total
England,2016 Q4 (end December),Thousands,Cars,"13,374.70","9,151.80","1,256.00","2,500.80",0,"26,283.30"
England,2017 Q4 (end December),Thousands,Cars,"13,494.70","9,302.60","1,255.80","2,522.20",0,"26,575.30"
England,2018 Q4 (end December),Thousands,Cars,"13,624.40","9,447.30","1,247.90","2,519.70",0,"26,839.20"
England,2019 Q4 (end December),Thousands,Cars,"13,810.80","9,622.40","1,234.70","2,478.30",0,"27,146.10"
England,2020 Q4 (end December),Thousands,Cars,"13,823.10","9,689.00","1,192.60","2,331.40",0,"27,036.10"
England,2021 Q4 (end December),Thousands,Cars,"13,877.20","9,747.00","1,160.40","2,339.70",0,"27,124.30"
England,2022 Q4 (end December),Thousands,Cars,"13,947.00","9,812.90","1,148.80","2,479.80",0,"27,388.50"
England,2023 Q4 (end December),Thousands,Cars,"14,038.00","9,897.10","1,150.00","2,636.80",0,"27,721.90"
England,2024 Q4 (end December),Thousands,Cars,"14,158.60","9,994.30","1,138.00","2,760.80",0,"28,051.70"
England,2025 Q4 (end December),Thousands,Cars,"14,305.00","10,113.00","1,130.70","2,952.00",0,"28,500.70"
England,1994 Q4 (end December),Thousands,Heavy goods vehicles,53.7,7.2,2.1,292.7,[low],355.8
England,1995 Q4 (end December),Thousands,Heavy goods vehicles,51.8,7.3,2.1,298,[low],359.2
England,1996 Q4 (end December),Thousands,Heavy goods vehicles,51.9,8.3,2.3,304,[low],366.5
England,1997 Q4 (end December),Thousands,Heavy goods vehicles,51.2,8.7,2.4,312.6,[low],374.9
England,1998 Q4 (end December),Thousands,Heavy goods vehicles,50.1,9.4,2.5,320,[low],382
England,1999 Q4 (end December),Thousands,Heavy goods vehicles,50.3,10.1,2.8,333.6,0,396.7
England,2000 Q4 (end December),Thousands,Heavy goods vehicles,48.9,10.6,3,347.6,0,410.1
England,2001 Q4 (end December),Thousands,Heavy goods vehicles,48.1,10.7,3.2,353.1,0,415.2
England,2002 Q4 (end December),Thousands,Heavy goods vehicles,48.6,11.7,3.7,357.1,0,421
England,2003 Q4 (end December),Thousands,Heavy goods vehicles,49.7,12.6,4.3,359.4,0,426
England,2004 Q4 (end December),Thousands,Heavy goods vehicles,52.9,13.8,4.7,364.8,0,436.2
England,2005 Q4 (end December),Thousands,Heavy goods vehicles,54.3,14.7,4.8,364.9,0,438.6
England,2006 Q4 (end December),Thousands,Heavy goods vehicles,55.2,15.3,4.8,362.3,0,437.6
England,2007 Q4 (end December),Thousands,Heavy goods vehicles,56,16,4.6,362.9,0,439.5
England,2008 Q4 (end December),Thousands,Heavy goods vehicles,54.7,16.3,4.4,351.6,0,427.1
England,2009 Q4 (end December),Thousands,Heavy goods vehicles,55,16.8,4.5,335.1,0,411.3
England,2010 Q4 (end December),Thousands,Heavy goods vehicles,54.2,16.8,4.7,328.2,0,403.8
England,2011 Q4 (end December),Thousands,Heavy goods vehicles,53.6,17.1,4.7,323.8,0,399.2
England,2012 Q4 (end December),Thousands,Heavy goods vehicles,53,17.3,4.5,321.3,0,396.1
England,2013 Q4 (end December),Thousands,Heavy goods vehicles,52.8,17.5,4.5,328.5,0,403.3
England,2014 Q4 (end December),Thousands,Heavy goods vehicles,53.1,17.7,4.5,331.9,0,407.2
England,2015 Q4 (end December),Thousands,Heavy goods vehicles,53.9,18.2,4.7,338.4,0,415.2
England,2016 Q4 (end December),Thousands,Heavy goods vehicles,55.5,18.8,5,347.7,0,427
England,2017 Q4 (end December),Thousands,Heavy goods vehicles,56.4,19.2,5,351.3,0,431.8
England,2018 Q4 (end December),Thousands,Heavy goods vehicles,56.8,19.2,4.9,352.1,0,433
England,2019 Q4 (end December),Thousands,Heavy goods vehicles,57.2,19.5,4.8,353.3,0,434.9
England,2020 Q4 (end December),Thousands,Heavy goods vehicles,54.2,18.8,4.3,344.2,0,421.5
England,2021 Q4 (end December),Thousands,Heavy goods vehicles,57.6,19.5,4.2,356.1,0,437.3
England,2022 Q4 (end December),Thousands,Heavy goods vehicles,57.9,19.3,3.9,362.9,0,444
England,2023 Q4 (end December),Thousands,Heavy goods vehicles,57.9,19,3.7,361.1,0,441.7
England,2024 Q4 (end December),Thousands,Heavy goods vehicles,58.4,18.8,3.6,359.8,0,440.7
England,2025 Q4 (end December),Thousands,Heavy goods vehicles,59.6,18.7,3.6,362.7,0,444.6
England,1994 Q4 (end December),Thousands,Light goods vehicles,847.9,88.2,14.8,851.2,[low],"1,802.00"
England,1995 Q4 (end December),Thousands,Light goods vehicles,835.9,86.8,15.3,860.4,[low],"1,798.50"
England,1996 Q4 (end December),Thousands,Light goods vehicles,862.9,88.9,16.9,878.5,[low],"1,847.30"
England,1997 Q4 (end December),Thousands,Light goods vehicles,876.8,90,18.3,923,[low],"1,908.10"
England,1998 Q4 (end December),Thousands,Light goods vehicles,887.5,89.5,20.2,966.2,[low],"1,963.40"
England,1999 Q4 (end December),Thousands,Light goods vehicles,897.9,89.9,22.6,"1,003.40",0,"2,013.80"
England,2000 Q4 (end December),Thousands,Light goods vehicles,888.2,87.6,24.6,"1,066.30",0,"2,066.70"
England,2001 Q4 (end December),Thousands,Light goods vehicles,902.1,86.6,27,"1,116.00",0,"2,131.70"
England,2002 Q4 (end December),Thousands,Light goods vehicles,926.3,86.3,30.9,"1,154.10",0,"2,197.60"
England,2003 Q4 (end December),Thousands,Light goods vehicles,965.1,87.8,37.7,"1,197.30",0,"2,287.90"
England,2004 Q4 (end December),Thousands,Light goods vehicles,"1,037.10",92.6,41.8,"1,249.20",0,"2,420.80"
England,2005 Q4 (end December),Thousands,Light goods vehicles,"1,089.90",97.2,44.3,"1,291.90",0,"2,523.30"
England,2006 Q4 (end December),Thousands,Light goods vehicles,"1,121.20",100.1,47.1,"1,313.30",[low],"2,581.70"
England,2007 Q4 (end December),Thousands,Light goods vehicles,"1,169.00",103.6,49.1,"1,362.70",[low],"2,684.30"
England,2008 Q4 (end December),Thousands,Light goods vehicles,"1,194.50",105.9,50.1,"1,374.30",0,"2,724.80"
England,2009 Q4 (end December),Thousands,Light goods vehicles,"1,240.30",111.8,52.1,"1,313.10",0,"2,717.20"
England,2010 Q4 (end December),Thousands,Light goods vehicles,"1,254.90",113.8,57.5,"1,301.90",0,"2,728.10"
England,2011 Q4 (end December),Thousands,Light goods vehicles,"1,262.80",116.2,62.8,"1,324.20",0,"2,766.00"
England,2012 Q4 (end December),Thousands,Light goods vehicles,"1,278.80",118.4,63.4,"1,331.90",0,"2,792.40"
England,2013 Q4 (end December),Thousands,Light goods vehicles,"1,303.70",121.5,64.1,"1,367.00",0,"2,856.40"
England,2014 Q4 (end December),Thousands,Light goods vehicles,"1,329.70",126.4,67.2,"1,432.10",0,"2,955.30"
England,2015 Q4 (end December),Thousands,Light goods vehicles,"1,371.50",134.2,72.7,"1,510.30",0,"3,088.80"
England,2016 Q4 (end December),Thousands,Light goods vehicles,"1,427.80",142.9,77.5,"1,586.00",0,"3,234.30"
England,2017 Q4 (end December),Thousands,Light goods vehicles,"1,462.70",150.6,79.1,"1,637.40",0,"3,329.90"
England,2018 Q4 (end December),Thousands,Light goods vehicles,"1,496.30",159.2,79.2,"1,695.10",0,"3,429.80"
England,2019 Q4 (end December),Thousands,Light goods vehicles,"1,539.70",168.6,76.4,"1,737.40",0,"3,522.10"
England,2020 Q4 (end December),Thousands,Light goods vehicles,"1,590.50",176.9,69.9,"1,763.90",0,"3,601.20"
England,2021 Q4 (end December),Thousands,Light goods vehicles,"1,639.30",191.5,65.1,"1,858.20",0,"3,754.10"
England,2022 Q4 (end December),Thousands,Light goods vehicles,"1,654.50",201.6,60.8,"1,902.80",0,"3,819.70"
England,2023 Q4 (end December),Thousands,Light goods vehicles,"1,661.90",211.2,57,"1,951.60",0,"3,881.70"
England,2024 Q4 (end December),Thousands,Light goods vehicles,"1,692.20",222.1,54.8,"1,970.90",0,"3,940.00"
England,2025 Q4 (end December),Thousands,Light goods vehicles,"1,739.50",235.1,52.8,"1,981.30",0,"4,008.80"
England,1994 Q4 (end December),Thousands,Motorcycles,542.1,68,5.8,19.6,[low],635.4
England,1995 Q4 (end December),Thousands,Motorcycles,531.1,62.2,5.9,20.8,[low],620.1
England,1996 Q4 (end December),Thousands,Motorcycles,559,60.4,6.7,24.9,[low],651
England,1997 Q4 (end December),Thousands,Motorcycles,579.6,55.6,7.6,27.6,[low],670.4
England,1998 Q4 (end December),Thousands,Motorcycles,634.1,56.4,9,28.5,[low],728
England,1999 Q4 (end December),Thousands,Motorcycles,691.6,60.1,10.7,30.5,0,792.8
England,2000 Q4 (end December),Thousands,Motorcycles,745.3,65.5,12,33.5,0,856.3
England,2001 Q4 (end December),Thousands,Motorcycles,788.2,69.8,13.4,33.3,0,904.7
England,2002 Q4 (end December),Thousands,Motorcycles,833.2,72.7,14.8,34.1,0,954.8
England,2003 Q4 (end December),Thousands,Motorcycles,877.9,74.1,17.9,38.5,0,"1,008.30"
England,2004 Q4 (end December),Thousands,Motorcycles,921.7,75.4,19,35.8,0,"1,051.90"
England,2005 Q4 (end December),Thousands,Motorcycles,934.5,75.2,19.6,36.8,0,"1,066.10"
England,2006 Q4 (end December),Thousands,Motorcycles,935.2,73.9,21,34.3,0,"1,064.40"
England,2007 Q4 (end December),Thousands,Motorcycles,962.9,74.1,22,37.1,0,"1,096.20"
England,2008 Q4 (end December),Thousands,Motorcycles,984.4,75.5,22.7,36.8,0,"1,119.50"
England,2009 Q4 (end December),Thousands,Motorcycles,987.1,75.1,23.5,33.6,0,"1,119.30"
England,2010 Q4 (end December),Thousands,Motorcycles,951.2,70.6,29.7,32.4,0,"1,083.90"
England,2011 Q4 (end December),Thousands,Motorcycles,955.8,69.4,34.5,31.7,0,"1,091.40"
England,2012 Q4 (end December),Thousands,Motorcycles,943.6,67.5,36.5,31.3,0,"1,078.90"
England,2013 Q4 (end December),Thousands,Motorcycles,938.9,64.9,37.3,31,0,"1,072.00"
England,2014 Q4 (end December),Thousands,Motorcycles,934.4,63.4,39.2,30.6,0,"1,067.60"
England,2015 Q4 (end December),Thousands,Motorcycles,948.2,63.2,42.2,30.2,0,"1,083.80"
England,2016 Q4 (end December),Thousands,Motorcycles,966.3,63,45,33,0,"1,107.30"
England,2017 Q4 (end December),Thousands,Motorcycles,954.6,61,45.5,31.6,0,"1,092.60"
England,2018 Q4 (end December),Thousands,Motorcycles,964.5,59.4,45.1,30.7,0,"1,099.70"
England,2019 Q4 (end December),Thousands,Motorcycles,963.7,57.4,52.2,31.1,0,"1,104.40"
England,2020 Q4 (end December),Thousands,Motorcycles,980.6,56.5,58.7,29.6,0,"1,125.40"
England,2021 Q4 (end December),Thousands,Motorcycles,"1,007.30",57.7,60.3,32.8,0,"1,158.00"
England,2022 Q4 (end December),Thousands,Motorcycles,"1,019.70",58.8,62,36.1,0,"1,176.60"
England,2023 Q4 (end December),Thousands,Motorcycles,"1,009.10",57.9,62,37.8,0,"1,166.80"
England,2024 Q4 (end December),Thousands,Motorcycles,"1,008.60",57.3,64.2,36.9,0,"1,167.00"
England,2025 Q4 (end December),Thousands,Motorcycles,"1,016.30",57.7,62.5,34.1,0,"1,170.70"
England,1994 Q4 (end December),Thousands,Other vehicles,174.5,10.4,9.4,277.4,[low],471.6
England,1995 Q4 (end December),Thousands,Other vehicles,170.5,10.1,9.3,262.5,[low],452.5
England,1996 Q4 (end December),Thousands,Other vehicles,171.6,10.4,9.6,257.1,[low],448.5
England,1997 Q4 (end December),Thousands,Other vehicles,170.3,10.5,9.7,256.4,[low],447
England,1998 Q4 (end December),Thousands,Other vehicles,171.9,10.9,9.9,249.1,0,441.8
England,1999 Q4 (end December),Thousands,Other vehicles,170,10.9,10,235.4,0,426.4
England,2000 Q4 (end December),Thousands,Other vehicles,166.4,10.6,9.8,221.8,0,408.6
