Geography,Date Interval,Date,Units,BodyType,Measure,Reported Source,Petrol,Diesel,Hybrid Electric,Plug-in Hybrid Electric,Total
England,Annual,2003,Grams per kilometre,Cars,Reported,NEDC figure,176.4,164.6,[u],[u],173.2
England,Annual,2004,Grams per kilometre,Cars,Reported,NEDC figure,175.7,164.2,[u],[u],171.9
England,Annual,2005,Grams per kilometre,Cars,Reported,NEDC figure,173.3,165.4,[u],[u],170.2
England,Annual,2006,Grams per kilometre,Cars,Reported,NEDC figure,169.7,166.4,[u],[u],168.2
England,Annual,2007,Grams per kilometre,Cars,Reported,NEDC figure,166.4,164,[u],[u],165.1
England,Annual,2008,Grams per kilometre,Cars,Reported,NEDC figure,160,157.3,[u],[u],158.6
England,Annual,2009,Grams per kilometre,Cars,Reported,NEDC figure,149.3,151.8,[u],[u],150
England,Annual,2010,Grams per kilometre,Cars,Reported,NEDC figure,145.3,144.6,105.9,[u],144.5
England,Annual,2011,Grams per kilometre,Cars,Reported,NEDC figure,140.1,137.6,103,[u],138.3
England,Annual,2012,Grams per kilometre,Cars,Reported,NEDC figure,134.1,133.1,100.6,[u],133
England,Annual,2013,Grams per kilometre,Cars,Reported,NEDC figure,129.3,129.1,97.4,[u],128.5
England,Annual,2014,Grams per kilometre,Cars,Reported,NEDC figure,126.9,125.1,95.2,[u],124.9
England,Annual,2015,Grams per kilometre,Cars,Reported,NEDC figure,124.6,121.6,93.9,45.6,121.5
England,Annual,2016,Grams per kilometre,Cars,Reported,NEDC figure,124,120.5,94.4,47.3,120.3
England,Annual,2017,Grams per kilometre,Cars,Reported,NEDC figure,125.5,122.5,92.2,46.1,121.4
England,Annual,2018,Grams per kilometre,Cars,Reported,Mix of NEDC figure and e-NEDC calculation,128.6,129.5,94.8,46.7,125
England,Annual,2019,Grams per kilometre,Cars,Reported,e-NEDC calculation,132.5,135.2,96.8,48,127.9
England,Annual,2020,Grams per kilometre,Cars,Reported,Mix of e-NEDC calculation and WLTP figure,141.3,153.9,119.7,41.4,127.6
England,Annual,2021,Grams per kilometre,Cars,Reported,WLTP figure,144.6,161.3,127,39.1,118.8
England,Annual,2022,Grams per kilometre,Cars,Reported,WLTP figure,144.3,164.5,126.8,35.3,110.3
England,Annual,2023,Grams per kilometre,Cars,Reported,WLTP figure,143.6,171.1,126.5,31.5,107.6
England,Annual,2024,Grams per kilometre,Cars,Reported,WLTP figure,143.5,173.8,127.3,28.4,100.5
England,Annual,2025,Grams per kilometre,Cars,Reported,WLTP figure,142.6,179.4,126.3,22.8,89.9
England,Quarterly,2003 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,176.4,164.8,[u],[u],173.4
England,Quarterly,2003 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,176.7,163.6,[u],[u],173.3
England,Quarterly,2003 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,175.7,165.6,[u],[u],173
England,Quarterly,2003 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,176.8,164.3,[u],[u],172.9
England,Quarterly,2004 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,175.5,165.1,[u],[u],172.3
England,Quarterly,2004 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,177.3,164.7,[u],[u],173.2
England,Quarterly,2004 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,174.6,163.1,[u],[u],170.7
England,Quarterly,2004 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,175.4,163.9,[u],[u],171.2
England,Quarterly,2005 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,173.3,164.5,[u],[u],170.2
England,Quarterly,2005 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,174.7,164.9,[u],[u],171
England,Quarterly,2005 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,171.7,165.9,[u],[u],169.4
England,Quarterly,2005 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,174.1,166.1,[u],[u],170.5
England,Quarterly,2006 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,170.4,166.8,[u],[u],168.9
England,Quarterly,2006 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,170.5,165.9,[u],[u],168.6
England,Quarterly,2006 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,167.8,166.4,[u],[u],167.1
England,Quarterly,2006 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,170.1,166.5,[u],[u],168.4
England,Quarterly,2007 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,167.1,165,[u],[u],166
England,Quarterly,2007 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,168.1,164.1,[u],[u],166.1
England,Quarterly,2007 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,164.8,164.7,[u],[u],164.5
England,Quarterly,2007 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,165.5,162,[u],[u],163.6
England,Quarterly,2008 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,161.6,161.1,[u],[u],161.1
England,Quarterly,2008 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,161.7,157.8,[u],[u],159.7
England,Quarterly,2008 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,158,154.9,[u],[u],156.3
England,Quarterly,2008 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,157.2,153.4,[u],[u],155.2
England,Quarterly,2009 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,152.8,155.5,[u],[u],153.9
England,Quarterly,2009 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,151.6,152.5,[u],[u],151.9
England,Quarterly,2009 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,146.9,150.1,[u],[u],147.7
England,Quarterly,2009 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,146.9,149.1,[u],[u],147.5
England,Quarterly,2010 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,144.8,148.2,103.9,[u],145.8
England,Quarterly,2010 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,146.7,144.6,106.5,[u],145.3
England,Quarterly,2010 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,144.2,143.6,107,[u],143.4
England,Quarterly,2010 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,145.9,141.7,106.2,[u],143.1
England,Quarterly,2011 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,141.6,140.5,102.8,[u],140.4
England,Quarterly,2011 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,141.4,137.8,102.9,[u],139
England,Quarterly,2011 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,138.1,136.3,103.5,[u],136.7
England,Quarterly,2011 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,138.9,135.5,102.6,[u],136.4
England,Quarterly,2012 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,136,134.8,102.3,[u],134.8
England,Quarterly,2012 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,134.9,133,102.1,[u],133.3
England,Quarterly,2012 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,132.6,132.7,98.5,[u],132
England,Quarterly,2012 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,133,131.6,99.2,[u],131.6
England,Quarterly,2013 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,129,131.9,97.5,[u],129.8
England,Quarterly,2013 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,129.9,129.1,97.8,[u],128.9
England,Quarterly,2013 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,128.8,128.2,96.9,[u],127.8
England,Quarterly,2013 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,129.4,127,97.5,[u],127.4
England,Quarterly,2014 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,127.4,126.6,94.8,[u],126.2
England,Quarterly,2014 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,128.4,125.7,95,[u],126.1
England,Quarterly,2014 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,125.6,124.5,94.6,[u],123.8
England,Quarterly,2014 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,126.2,123.4,96.5,[u],123.1
England,Quarterly,2015 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,124.3,123.7,94.4,45.4,122.3
England,Quarterly,2015 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,125.3,122.2,93.3,45.4,122.2
England,Quarterly,2015 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,123.6,120.4,93.7,44.3,120.6
England,Quarterly,2015 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,125.5,119.8,94,47.1,120.5
England,Quarterly,2016 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,123.2,120.2,95.9,46.4,119.8
England,Quarterly,2016 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,124.6,120.3,91.6,47.6,120.5
England,Quarterly,2016 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,123.4,120.9,95.6,47.5,120.3
England,Quarterly,2016 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,125.3,120.6,93.9,47.8,120.9
England,Quarterly,2017 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,123.8,122,93.1,47.4,120.6
England,Quarterly,2017 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,126.1,121.6,92.6,46.6,121.4
England,Quarterly,2017 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,125.7,123.1,91.6,45.3,121.4
England,Quarterly,2017 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,127.2,124.2,91.2,45.5,122.4
England,Quarterly,2018 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,125.6,126.2,92.6,44.1,122.7
England,Quarterly,2018 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,127.6,127.3,92.7,46.2,123.7
England,Quarterly,2018 Q3 (July to September),Grams per kilometre,Cars,Reported,Mix of NEDC figure and e-NEDC calculation,130.3,132.3,97.5,47.4,126.7
England,Quarterly,2018 Q4 (October to December),Grams per kilometre,Cars,Reported,Mix of NEDC figure and e-NEDC calculation,132.1,134.6,96,49.1,128.2
England,Quarterly,2019 Q1 (January to March),Grams per kilometre,Cars,Reported,e-NEDC calculation,131.8,134.7,95.6,50.7,128.9
England,Quarterly,2019 Q2 (April to June),Grams per kilometre,Cars,Reported,e-NEDC calculation,133.9,135.2,95.1,49.8,130
England,Quarterly,2019 Q3 (July to September),Grams per kilometre,Cars,Reported,e-NEDC calculation,132.1,135.7,96.7,45.9,127
England,Quarterly,2019 Q4 (October to December),Grams per kilometre,Cars,Reported,e-NEDC calculation,132.4,135.6,100.1,46.6,125.1
England,Quarterly,2020 Q1 (January to March),Grams per kilometre,Cars,Reported,e-NEDC calculation,126,134,98.9,44.8,118.4
England,Quarterly,2020 Q2 (April to June),Grams per kilometre,Cars,Reported,WLTP figure,149.9,167.7,126,45.9,136
England,Quarterly,2020 Q3 (July to September),Grams per kilometre,Cars,Reported,WLTP figure,148.2,166.1,125,41.2,135.3
England,Quarterly,2020 Q4 (October to December),Grams per kilometre,Cars,Reported,WLTP figure,147.8,160.8,128.5,38.6,124
England,Quarterly,2021 Q1 (January to March),Grams per kilometre,Cars,Reported,WLTP figure,146.1,162.3,129.6,41.3,128.8
England,Quarterly,2021 Q2 (April to June),Grams per kilometre,Cars,Reported,WLTP figure,144.3,160.6,127.2,38.3,123.6
England,Quarterly,2021 Q3 (July to September),Grams per kilometre,Cars,Reported,WLTP figure,143.3,162.7,124.8,38.7,115
England,Quarterly,2021 Q4 (October to December),Grams per kilometre,Cars,Reported,WLTP figure,144.3,158.2,127.2,38.5,103.6
England,Quarterly,2022 Q1 (January to March),Grams per kilometre,Cars,Reported,WLTP figure,144.5,162.1,125.7,37,110.9
England,Quarterly,2022 Q2 (April to June),Grams per kilometre,Cars,Reported,WLTP figure,144.1,163.5,128,36.3,116.3
England,Quarterly,2022 Q3 (July to September),Grams per kilometre,Cars,Reported,WLTP figure,144.1,166,126.4,35.2,113.4
England,Quarterly,2022 Q4 (October to December),Grams per kilometre,Cars,Reported,WLTP figure,144.3,167.2,127.4,33,101
England,Quarterly,2023 Q1 (January to March),Grams per kilometre,Cars,Reported,WLTP figure,142.5,172.3,125.6,33.2,110.8
England,Quarterly,2023 Q2 (April to June),Grams per kilometre,Cars,Reported,WLTP figure,144.2,171.3,126.7,32,108.7
England,Quarterly,2023 Q3 (July to September),Grams per kilometre,Cars,Reported,WLTP figure,143.8,170,127.3,30.7,106.5
England,Quarterly,2023 Q4 (October to December),Grams per kilometre,Cars,Reported,WLTP figure,144.3,170.7,126.3,30.7,104.4
England,Quarterly,2024 Q1 (January to March),Grams per kilometre,Cars,Reported,WLTP figure,143.8,171.7,126.7,31.6,108
England,Quarterly,2024 Q2 (April to June),Grams per kilometre,Cars,Reported,WLTP figure,144.4,170.6,126.7,29.1,102.9
England,Quarterly,2024 Q3 (July to September),Grams per kilometre,Cars,Reported,WLTP figure,142.1,175.2,127.7,29.3,98.5
England,Quarterly,2024 Q4 (October to December),Grams per kilometre,Cars,Reported,WLTP figure,143.7,178.5,128.3,23.7,90.9
England,Quarterly,2025 Q1 (January to March),Grams per kilometre,Cars,Reported,WLTP figure,143.2,181.6,126.7,22.9,96.8
England,Quarterly,2025 Q2 (April to June),Grams per kilometre,Cars,Reported,WLTP figure,141.2,177.6,126.8,21.2,90
England,Quarterly,2025 Q3 (July to September),Grams per kilometre,Cars,Reported,WLTP figure,141.8,177.7,126.2,21.8,88.1
England,Quarterly,2025 Q4 (October to December),Grams per kilometre,Cars,Reported,WLTP figure,144.2,180,125.4,25.6,83.1
England,Quarterly,2026 Q1 (January to March),Grams per kilometre,Cars,Reported,WLTP figure,143.2,182.9,122.1,30.8,90.2
England,Monthly,Jan-03,Grams per kilometre,Cars,Reported,NEDC figure,177.7,163.8,[u],[u],173.9
England,Monthly,Feb-03,Grams per kilometre,Cars,Reported,NEDC figure,173.9,161.3,[u],[u],170.7
England,Monthly,Mar-03,Grams per kilometre,Cars,Reported,NEDC figure,176.4,165.9,[u],[u],173.7
England,Monthly,Apr-03,Grams per kilometre,Cars,Reported,NEDC figure,176.3,163.1,[u],[u],172.8
England,Monthly,May-03,Grams per kilometre,Cars,Reported,NEDC figure,177.1,163.4,[u],[u],173.4
England,Monthly,Jun-03,Grams per kilometre,Cars,Reported,NEDC figure,176.8,164.1,[u],[u],173.5
England,Monthly,Jul-03,Grams per kilometre,Cars,Reported,NEDC figure,177.2,163.7,[u],[u],173.5
England,Monthly,Aug-03,Grams per kilometre,Cars,Reported,NEDC figure,174.7,163.8,[u],[u],171.8
England,Monthly,Sep-03,Grams per kilometre,Cars,Reported,NEDC figure,175.3,166.8,[u],[u],173
England,Monthly,Oct-03,Grams per kilometre,Cars,Reported,NEDC figure,175.9,162.8,[u],[u],172
England,Monthly,Nov-03,Grams per kilometre,Cars,Reported,NEDC figure,176.9,163.7,[u],[u],172.8
England,Monthly,Dec-03,Grams per kilometre,Cars,Reported,NEDC figure,177.6,166.6,[u],[u],174.2
England,Monthly,Jan-04,Grams per kilometre,Cars,Reported,NEDC figure,176.5,163.8,[u],[u],172.5
England,Monthly,Feb-04,Grams per kilometre,Cars,Reported,NEDC figure,173.5,163,[u],[u],170.3
England,Monthly,Mar-04,Grams per kilometre,Cars,Reported,NEDC figure,175.5,166,[u],[u],172.6
England,Monthly,Apr-04,Grams per kilometre,Cars,Reported,NEDC figure,177.7,164.4,[u],[u],173.4
England,Monthly,May-04,Grams per kilometre,Cars,Reported,NEDC figure,177.8,164.6,[u],[u],173.6
England,Monthly,Jun-04,Grams per kilometre,Cars,Reported,NEDC figure,176.5,165.2,[u],[u],172.8
England,Monthly,Jul-04,Grams per kilometre,Cars,Reported,NEDC figure,176.6,162.6,[u],[u],172
England,Monthly,Aug-04,Grams per kilometre,Cars,Reported,NEDC figure,174.1,162,[u],[u],170.2
England,Monthly,Sep-04,Grams per kilometre,Cars,Reported,NEDC figure,173.7,163.5,[u],[u],170.3
England,Monthly,Oct-04,Grams per kilometre,Cars,Reported,NEDC figure,176.6,161.6,[u],[u],171
England,Monthly,Nov-04,Grams per kilometre,Cars,Reported,NEDC figure,174.7,163.6,[u],[u],170.5
England,Monthly,Dec-04,Grams per kilometre,Cars,Reported,NEDC figure,175,167.1,[u],[u],172.2
England,Monthly,Jan-05,Grams per kilometre,Cars,Reported,NEDC figure,175.5,164,[u],[u],171.2
England,Monthly,Feb-05,Grams per kilometre,Cars,Reported,NEDC figure,172.5,161.2,[u],[u],168.3
England,Monthly,Mar-05,Grams per kilometre,Cars,Reported,NEDC figure,172.5,165.3,[u],[u],170.1
England,Monthly,Apr-05,Grams per kilometre,Cars,Reported,NEDC figure,175.4,164.2,[u],[u],171.2
England,Monthly,May-05,Grams per kilometre,Cars,Reported,NEDC figure,175.6,164.3,[u],[u],171.3
England,Monthly,Jun-05,Grams per kilometre,Cars,Reported,NEDC figure,173.3,166.2,[u],[u],170.6
England,Monthly,Jul-05,Grams per kilometre,Cars,Reported,NEDC figure,172.5,164.1,[u],[u],169.4
England,Monthly,Aug-05,Grams per kilometre,Cars,Reported,NEDC figure,171.1,162.6,[u],[u],167.8
England,Monthly,Sep-05,Grams per kilometre,Cars,Reported,NEDC figure,171.4,167.3,[u],[u],169.8
England,Monthly,Oct-05,Grams per kilometre,Cars,Reported,NEDC figure,174.1,164.3,[u],[u],170.1
England,Monthly,Nov-05,Grams per kilometre,Cars,Reported,NEDC figure,174.4,166.9,[u],[u],171.1
England,Monthly,Dec-05,Grams per kilometre,Cars,Reported,NEDC figure,173.7,166.8,[u],[u],170.4
England,Monthly,Jan-06,Grams per kilometre,Cars,Reported,NEDC figure,173.2,165.5,[u],[u],170.1
England,Monthly,Feb-06,Grams per kilometre,Cars,Reported,NEDC figure,168.3,161.6,[u],[u],165.6
England,Monthly,Mar-06,Grams per kilometre,Cars,Reported,NEDC figure,169.8,168.3,[u],[u],169.1
England,Monthly,Apr-06,Grams per kilometre,Cars,Reported,NEDC figure,170.4,166.5,[u],[u],168.8
England,Monthly,May-06,Grams per kilometre,Cars,Reported,NEDC figure,170.4,165.3,[u],[u],168.3
England,Monthly,Jun-06,Grams per kilometre,Cars,Reported,NEDC figure,170.8,165.9,[u],[u],168.7
England,Monthly,Jul-06,Grams per kilometre,Cars,Reported,NEDC figure,169.9,164.8,[u],[u],167.7
England,Monthly,Aug-06,Grams per kilometre,Cars,Reported,NEDC figure,167.8,162.5,[u],[u],165.5
England,Monthly,Sep-06,Grams per kilometre,Cars,Reported,NEDC figure,166.9,167.8,[u],[u],167.1
England,Monthly,Oct-06,Grams per kilometre,Cars,Reported,NEDC figure,171.2,165.6,[u],[u],168.6
England,Monthly,Nov-06,Grams per kilometre,Cars,Reported,NEDC figure,169.9,165.8,[u],[u],167.9
England,Monthly,Dec-06,Grams per kilometre,Cars,Reported,NEDC figure,169.3,168.3,[u],[u],168.7
England,Monthly,Jan-07,Grams per kilometre,Cars,Reported,NEDC figure,167.3,163.2,[u],[u],165.3
England,Monthly,Feb-07,Grams per kilometre,Cars,Reported,NEDC figure,167,158.9,[u],[u],163.6
England,Monthly,Mar-07,Grams per kilometre,Cars,Reported,NEDC figure,167,166.7,[u],[u],166.7
England,Monthly,Apr-07,Grams per kilometre,Cars,Reported,NEDC figure,167.4,162.6,[u],[u],165.1
England,Monthly,May-07,Grams per kilometre,Cars,Reported,NEDC figure,169,164.3,[u],[u],166.6
England,Monthly,Jun-07,Grams per kilometre,Cars,Reported,NEDC figure,167.8,165,[u],[u],166.4
England,Monthly,Jul-07,Grams per kilometre,Cars,Reported,NEDC figure,167.2,162.6,[u],[u],164.9
England,Monthly,Aug-07,Grams per kilometre,Cars,Reported,NEDC figure,167,160.3,[u],[u],163.7
England,Monthly,Sep-07,Grams per kilometre,Cars,Reported,NEDC figure,163.4,166.4,[u],[u],164.4
England,Monthly,Oct-07,Grams per kilometre,Cars,Reported,NEDC figure,166.5,161.4,[u],[u],163.9
England,Monthly,Nov-07,Grams per kilometre,Cars,Reported,NEDC figure,166,162,[u],[u],163.8
England,Monthly,Dec-07,Grams per kilometre,Cars,Reported,NEDC figure,163.8,162.6,[u],[u],163.1
England,Monthly,Jan-08,Grams per kilometre,Cars,Reported,NEDC figure,164.1,160.3,[u],[u],162
England,Monthly,Feb-08,Grams per kilometre,Cars,Reported,NEDC figure,162.5,156.2,[u],[u],159.3
England,Monthly,Mar-08,Grams per kilometre,Cars,Reported,NEDC figure,160.6,162.3,[u],[u],161.1
England,Monthly,Apr-08,Grams per kilometre,Cars,Reported,NEDC figure,163.2,158.6,[u],[u],160.8
England,Monthly,May-08,Grams per kilometre,Cars,Reported,NEDC figure,162.3,157.7,[u],[u],159.9
England,Monthly,Jun-08,Grams per kilometre,Cars,Reported,NEDC figure,160,157.2,[u],[u],158.5
England,Monthly,Jul-08,Grams per kilometre,Cars,Reported,NEDC figure,160,154.7,[u],[u],157.3
England,Monthly,Aug-08,Grams per kilometre,Cars,Reported,NEDC figure,158.5,151,[u],[u],154.7
England,Monthly,Sep-08,Grams per kilometre,Cars,Reported,NEDC figure,157,155.8,[u],[u],156.2
England,Monthly,Oct-08,Grams per kilometre,Cars,Reported,NEDC figure,157.6,152.7,[u],[u],155
England,Monthly,Nov-08,Grams per kilometre,Cars,Reported,NEDC figure,157.1,152.7,[u],[u],154.7
England,Monthly,Dec-08,Grams per kilometre,Cars,Reported,NEDC figure,156.7,154.9,[u],[u],155.7
England,Monthly,Jan-09,Grams per kilometre,Cars,Reported,NEDC figure,154.3,153.7,[u],[u],153.8
England,Monthly,Feb-09,Grams per kilometre,Cars,Reported,NEDC figure,155.6,152.6,[u],[u],154.1
England,Monthly,Mar-09,Grams per kilometre,Cars,Reported,NEDC figure,151.8,156.7,[u],[u],153.9
England,Monthly,Apr-09,Grams per kilometre,Cars,Reported,NEDC figure,153.8,152.2,[u],[u],152.9
England,Monthly,May-09,Grams per kilometre,Cars,Reported,NEDC figure,151.5,153,[u],[u],152
England,Monthly,Jun-09,Grams per kilometre,Cars,Reported,NEDC figure,150.2,152.2,[u],[u],150.9
England,Monthly,Jul-09,Grams per kilometre,Cars,Reported,NEDC figure,149.1,149.3,[u],[u],148.8
England,Monthly,Aug-09,Grams per kilometre,Cars,Reported,NEDC figure,145.7,146.9,[u],[u],145.6
England,Monthly,Sep-09,Grams per kilometre,Cars,Reported,NEDC figure,146.2,151.1,[u],[u],147.6
England,Monthly,Oct-09,Grams per kilometre,Cars,Reported,NEDC figure,147.1,149.3,[u],[u],147.7
England,Monthly,Nov-09,Grams per kilometre,Cars,Reported,NEDC figure,146.4,149.3,[u],[u],147.3
England,Monthly,Dec-09,Grams per kilometre,Cars,Reported,NEDC figure,147,148.6,[u],[u],147.4
England,Monthly,Jan-10,Grams per kilometre,Cars,Reported,NEDC figure,145.1,147,103.3,[u],145.3
England,Monthly,Feb-10,Grams per kilometre,Cars,Reported,NEDC figure,143.1,144,96.9,[u],143
England,Monthly,Mar-10,Grams per kilometre,Cars,Reported,NEDC figure,144.9,149.4,105.5,[u],146.4
England,Monthly,Apr-10,Grams per kilometre,Cars,Reported,NEDC figure,146.5,144,105.6,[u],145
England,Monthly,May-10,Grams per kilometre,Cars,Reported,NEDC figure,147,144.7,105.8,[u],145.4
England,Monthly,Jun-10,Grams per kilometre,Cars,Reported,NEDC figure,146.6,145,107.4,[u],145.4
England,Monthly,Jul-10,Grams per kilometre,Cars,Reported,NEDC figure,147.9,143.7,109.8,[u],145.3
England,Monthly,Aug-10,Grams per kilometre,Cars,Reported,NEDC figure,146,140.2,103.6,[u],142.3
England,Monthly,Sep-10,Grams per kilometre,Cars,Reported,NEDC figure,142.6,144.1,106.2,[u],142.9
England,Monthly,Oct-10,Grams per kilometre,Cars,Reported,NEDC figure,147,140.8,104.3,[u],143
England,Monthly,Nov-10,Grams per kilometre,Cars,Reported,NEDC figure,145.4,141.2,106.8,[u],142.7
England,Monthly,Dec-10,Grams per kilometre,Cars,Reported,NEDC figure,145.4,143.2,107.5,[u],143.8
England,Monthly,Jan-11,Grams per kilometre,Cars,Reported,NEDC figure,143.8,140.1,106.4,[u],141.4
England,Monthly,Feb-11,Grams per kilometre,Cars,Reported,NEDC figure,143.6,137.1,101.2,[u],139.8
England,Monthly,Mar-11,Grams per kilometre,Cars,Reported,NEDC figure,140.5,141.3,101.8,[u],140.2
England,Monthly,Apr-11,Grams per kilometre,Cars,Reported,NEDC figure,142.3,137.6,101,[u],139
England,Monthly,May-11,Grams per kilometre,Cars,Reported,NEDC figure,142.2,138,104,[u],139.5
England,Monthly,Jun-11,Grams per kilometre,Cars,Reported,NEDC figure,140.2,137.7,104.1,[u],138.5
England,Monthly,Jul-11,Grams per kilometre,Cars,Reported,NEDC figure,140.2,136.5,101.5,[u],137.6
England,Monthly,Aug-11,Grams per kilometre,Cars,Reported,NEDC figure,138.9,132.2,103.4,[u],134.9
England,Monthly,Sep-11,Grams per kilometre,Cars,Reported,NEDC figure,137.2,137,104,[u],136.6
England,Monthly,Oct-11,Grams per kilometre,Cars,Reported,NEDC figure,138.6,134.4,103,[u],135.7
England,Monthly,Nov-11,Grams per kilometre,Cars,Reported,NEDC figure,139.6,135.8,102.1,[u],136.8
England,Monthly,Dec-11,Grams per kilometre,Cars,Reported,NEDC figure,138.4,136.4,102.7,[u],136.8
England,Monthly,Jan-12,Grams per kilometre,Cars,Reported,NEDC figure,137.4,134.8,102.3,[u],135.4
England,Monthly,Feb-12,Grams per kilometre,Cars,Reported,NEDC figure,137.6,131,102.8,[u],133.6
England,Monthly,Mar-12,Grams per kilometre,Cars,Reported,NEDC figure,135.3,135.5,102.2,[u],134.8
England,Monthly,Apr-12,Grams per kilometre,Cars,Reported,NEDC figure,135.8,132.5,101,[u],133.4
England,Monthly,May-12,Grams per kilometre,Cars,Reported,NEDC figure,135,133.6,102.2,[u],133.6
England,Monthly,Jun-12,Grams per kilometre,Cars,Reported,NEDC figure,134.1,132.9,102.7,[u],132.8
England,Monthly,Jul-12,Grams per kilometre,Cars,Reported,NEDC figure,134.5,132,98.4,[u],132.5
England,Monthly,Aug-12,Grams per kilometre,Cars,Reported,NEDC figure,133,129.6,97.7,[u],130.7
England,Monthly,Sep-12,Grams per kilometre,Cars,Reported,NEDC figure,131.8,133.5,98.6,[u],132.1
England,Monthly,Oct-12,Grams per kilometre,Cars,Reported,NEDC figure,133.5,132,97.7,[u],131.9
England,Monthly,Nov-12,Grams per kilometre,Cars,Reported,NEDC figure,133,131.1,99.8,[u],131.4
England,Monthly,Dec-12,Grams per kilometre,Cars,Reported,NEDC figure,132.3,131.9,100.5,[u],131.5
England,Monthly,Jan-13,Grams per kilometre,Cars,Reported,NEDC figure,130.6,133.1,97.3,[u],131.3
England,Monthly,Feb-13,Grams per kilometre,Cars,Reported,NEDC figure,129.1,127.9,96.8,[u],128
England,Monthly,Mar-13,Grams per kilometre,Cars,Reported,NEDC figure,128.4,132.1,97.7,[u],129.6
England,Monthly,Apr-13,Grams per kilometre,Cars,Reported,NEDC figure,129.9,129.6,98.4,[u],129.3
England,Monthly,May-13,Grams per kilometre,Cars,Reported,NEDC figure,130.1,129,101.3,[u],128.9
England,Monthly,Jun-13,Grams per kilometre,Cars,Reported,NEDC figure,129.8,128.8,95.4,[u],128.7
