Geography [note 1],Date,Units,BodyType,Up to 1 year,1 up to 2 years,2 up to 3 years,3 up to 4 years,4 up to 5 years,5 up to 6 years,6 up to 10 years,10 up to 13 years,13 years and over,Unknown [note 2],Total,Average age since first use (years)
Scotland,1999 Q4 (end December),Thousands,Motorcycles,7.4,4.4,3.1,2.1,1.5,1.3,5.2,2.5,8.8,5.3,41.5,9.9
Scotland,2000 Q4 (end December),Thousands,Motorcycles,7.3,5.6,4.1,2.9,1.9,1.4,4.8,2.8,8.7,5.3,44.7,9.5
Scotland,2001 Q4 (end December),Thousands,Motorcycles,7,5.4,5,3.8,2.7,1.8,4.7,2.9,8.6,5.3,47.4,9.2
Scotland,2002 Q4 (end December),Thousands,Motorcycles,6.9,5.6,5.1,4.8,3.7,2.7,5.3,3.1,9.1,5.6,51.9,9.1
Scotland,2003 Q4 (end December),Thousands,Motorcycles,6.4,5.7,5.1,4.8,4.6,3.8,7,3,9.6,5.9,55.8,9.1
Scotland,2004 Q4 (end December),Thousands,Motorcycles,5.6,5.5,5.5,4.9,4.8,4.6,9.6,3.1,10.1,6.1,59.7,9.2
Scotland,2005 Q4 (end December),Thousands,Motorcycles,6.2,4.8,5.1,5,4.6,4.5,12.2,3.2,10.4,6,62.1,9.4
Scotland,2006 Q4 (end December),Thousands,Motorcycles,6.7,5.3,4.5,4.7,4.7,4.3,14.2,3.8,10.5,5.9,64.5,9.4
Scotland,2007 Q4 (end December),Thousands,Motorcycles,7.4,5.7,5,4.2,4.4,4.6,15.5,5.2,10.9,5.9,68.8,9.4
Scotland,2008 Q4 (end December),Thousands,Motorcycles,7.4,6.2,5.2,4.5,3.9,4.2,15.7,6.9,11.4,5.8,71.3,9.5
Scotland,2009 Q4 (end December),Thousands,Motorcycles,5.8,6.2,5.6,4.6,4.1,3.7,15.3,8.6,12.5,5.8,72.1,10.1
Scotland,2010 Q4 (end December),Thousands,Motorcycles,4.7,4.8,5.4,4.6,4.1,3.6,13.6,8.9,13.5,5.5,68.6,10.7
Scotland,2011 Q4 (end December),Thousands,Motorcycles,4.4,4,4.2,4.6,4.1,3.7,12.6,8.5,14.8,5.4,66.2,11.2
Scotland,2012 Q4 (end December),Thousands,Motorcycles,4.7,3.8,3.6,3.7,4.1,3.8,12,8.3,16.3,5.4,65.7,11.6
Scotland,2013 Q4 (end December),Thousands,Motorcycles,4.8,4,3.4,3.1,3.4,3.7,11.9,8.2,18.1,5.5,66,12.2
Scotland,2014 Q4 (end December),Thousands,Motorcycles,5.4,4,3.5,3,2.9,3,12.1,7.7,19.7,5.5,66.9,12.5
Scotland,2015 Q4 (end December),Thousands,Motorcycles,5.5,4.7,3.5,3,2.8,2.7,11.6,7.3,21.1,5.6,67.9,12.6
Scotland,2016 Q4 (end December),Thousands,Motorcycles,6.1,4.8,4.2,3.1,2.7,2.6,10.9,7,22.5,5.8,69.8,12.8
Scotland,2017 Q4 (end December),Thousands,Motorcycles,5.4,5.4,4.2,3.6,2.8,2.5,9.8,7.2,23,5.8,69.8,13
Scotland,2018 Q4 (end December),Thousands,Motorcycles,5.4,4.7,4.9,3.7,3.2,2.6,8.7,7,24.2,6.1,70.5,13.5
Scotland,2019 Q4 (end December),Thousands,Motorcycles,5.7,4.7,4.3,4.2,3.3,2.9,8.4,6.5,25.2,6.5,71.7,13.8
Scotland,2020 Q4 (end December),Thousands,Motorcycles,5.2,5,4.4,3.8,3.8,3.1,8.6,5.9,26.8,6.9,73.4,14.3
Scotland,2021 Q4 (end December),Thousands,Motorcycles,6.1,4.6,4.6,4,3.6,3.6,9.2,5.3,28.1,7.2,76.2,14.5
Scotland,2022 Q4 (end December),Thousands,Motorcycles,6,5.2,4.2,4.1,3.6,3.4,10.2,4.9,28.6,7.4,77.5,14.8
Scotland,2023 Q4 (end December),Thousands,Motorcycles,6.1,5.1,4.7,3.6,3.6,3.3,10.6,4.8,28.5,7.5,77.7,15
Scotland,2024 Q4 (end December),Thousands,Motorcycles,5.7,5.1,4.7,4.2,3.2,3.4,10.8,5,28.5,7.6,78.4,15.3
Scotland,2025 Q4 (end December),Thousands,Motorcycles,5.3,5.3,4.9,4.1,3.7,3.1,11.4,5.6,28.7,7.5,79.5,15.4
Scotland,1994 Q4 (end December),Thousands,Other vehicles,6,5.2,3.9,3.9,4.4,4.3,12.7,6.8,15.6,2.5,65.2,9.8
Scotland,1995 Q4 (end December),Thousands,Other vehicles,6.1,5.4,4.9,3.5,3.6,4,12.1,6.5,13.7,3.7,63.5,9.4
Scotland,1996 Q4 (end December),Thousands,Other vehicles,5.7,5.4,5.1,4.5,3.1,3.2,12.3,5.9,13.9,3.7,62.7,9.5
Scotland,1997 Q4 (end December),Thousands,Other vehicles,5,5,5.2,4.8,4.2,2.9,12,5.5,14.3,3.8,62.6,9.7
Scotland,1998 Q4 (end December),Thousands,Other vehicles,3.7,4.5,4.8,4.9,4.5,3.9,11,5.6,14.7,4,61.6,10.2
Scotland,1999 Q4 (end December),Thousands,Other vehicles,4,3.4,4.3,4.5,4.4,4.1,10.6,5.7,14.7,4,59.7,10.6
Scotland,2000 Q4 (end December),Thousands,Other vehicles,4,4,3.4,4.2,4.2,4.2,11,5.7,14.7,3.9,59.4,10.8
Scotland,2001 Q4 (end December),Thousands,Other vehicles,4.5,3.5,3.8,3.1,3.8,3.8,11.4,5.3,15.3,3.9,58.3,11.1
Scotland,2002 Q4 (end December),Thousands,Other vehicles,5.1,4.2,3.5,3.5,2.9,3.5,11.9,4.8,16,4,59.3,11.3
Scotland,2003 Q4 (end December),Thousands,Other vehicles,5.5,4.7,4,3.3,3.4,2.6,11.8,5,16.6,4.1,60.7,11.4
Scotland,2004 Q4 (end December),Thousands,Other vehicles,5.7,5.1,4.5,3.8,3.1,3.1,10.9,5.6,17.5,4.3,63.7,11.5
Scotland,2005 Q4 (end December),Thousands,Other vehicles,5.3,5.3,4.9,4.3,3.6,2.9,10.3,6.3,18,4.5,65.2,11.7
Scotland,2006 Q4 (end December),Thousands,Other vehicles,5.2,4.9,5,4.5,3.9,3.2,9.4,6.2,18.6,4.7,65.8,11.9
Scotland,2007 Q4 (end December),Thousands,Other vehicles,6,4.8,4.6,4.6,4.1,3.6,9.1,6.1,19.4,5.2,67.4,12
Scotland,2008 Q4 (end December),Thousands,Other vehicles,5.6,5.2,4.5,4,3.7,3.3,9.3,5.1,20,5.5,66.2,12.5
Scotland,2009 Q4 (end December),Thousands,Other vehicles,4.7,5.2,4.9,4.1,3.7,3.3,9.7,4.7,20.9,6.3,67.7,12.9
Scotland,2010 Q4 (end December),Thousands,Other vehicles,4.5,4.4,4.9,4.5,3.8,3.3,10.3,4.3,21.5,7.1,68.7,13.2
Scotland,2011 Q4 (end December),Thousands,Other vehicles,5.2,4.4,4.2,4.6,4.1,3.4,10.5,4.8,22,7.9,71.2,13.4
Scotland,2012 Q4 (end December),Thousands,Other vehicles,5.3,5,4.2,3.9,4.2,3.8,10.6,5.2,22.6,9.2,73.8,13.7
Scotland,2013 Q4 (end December),Thousands,Other vehicles,4.9,5.1,4.8,3.9,3.6,3.8,11.1,5.7,23.1,9.8,75.7,13.9
Scotland,2014 Q4 (end December),Thousands,Other vehicles,5.4,4.7,4.8,4.4,3.6,3.3,11.4,5.8,23.6,9.9,77,14
Scotland,2015 Q4 (end December),Thousands,Other vehicles,5.5,5.1,4.5,4.4,4.1,3.3,11.6,5.8,24.5,9.9,78.8,14.1
Scotland,2016 Q4 (end December),Thousands,Other vehicles,5.4,5.2,4.9,4.2,4.1,3.8,11.7,6,25.5,9.9,80.4,14.3
Scotland,2017 Q4 (end December),Thousands,Other vehicles,5.6,5.1,4.9,4.4,3.9,3.8,11.9,6.5,26.9,10,83,14.5
Scotland,2018 Q4 (end December),Thousands,Other vehicles,5.6,5.3,4.7,4.5,4.3,3.6,12.1,7.1,28,10.2,85.4,14.6
Scotland,2019 Q4 (end December),Thousands,Other vehicles,5.9,5.1,4.7,4.2,4.1,3.9,12.1,7.1,28.8,10.3,86.1,15
Scotland,2020 Q4 (end December),Thousands,Other vehicles,4.4,5.7,4.7,4.4,3.9,3.8,12.6,6.9,29.6,10.3,86.1,15.3
Scotland,2021 Q4 (end December),Thousands,Other vehicles,5.9,4.3,5.3,4.3,4.2,3.7,12.6,7.1,30.8,10.4,88.5,15.4
Scotland,2022 Q4 (end December),Thousands,Other vehicles,5.8,5.5,4.1,4.9,4,3.9,12.5,7.4,31.3,10.2,89.7,15.5
Scotland,2023 Q4 (end December),Thousands,Other vehicles,6.5,5.2,4.9,3.9,4.5,3.8,12.1,7.3,31.8,10.3,90.4,15.7
Scotland,2024 Q4 (end December),Thousands,Other vehicles,5.8,5.9,4.8,4.6,3.7,4.2,12.2,7.2,32.6,10.4,91.4,15.9
Scotland,2025 Q4 (end December),Thousands,Other vehicles,5.9,5.6,5.4,4.5,4.3,3.4,12.8,6.9,33.4,10.5,92.6,15.9
Scotland,1994 Q4 (end December),Thousands,Total,167.7,177.3,161.4,151.1,186.7,198.1,542.1,186.5,77.2,33.9,"1,881.90",6
Scotland,1995 Q4 (end December),Thousands,Total,172.2,184.6,172.6,152,148.6,179.8,575.8,194.2,82.2,36.3,"1,898.20",6.1
Scotland,1996 Q4 (end December),Thousands,Total,180.3,193.5,181.7,165.8,149.9,144.2,613.8,204.3,101.5,37.9,"1,973.10",6.2
Scotland,1997 Q4 (end December),Thousands,Total,191.9,196,188.9,174.9,163.8,145.3,595.2,219.1,113.5,39.7,"2,028.30",6.3
Scotland,1998 Q4 (end December),Thousands,Total,199.1,207.5,191.4,182.8,174.2,159,562,239.8,118.9,43.1,"2,077.90",6.3
Scotland,1999 Q4 (end December),Thousands,Total,202.2,216.8,206.2,184.8,181.9,168.4,534.7,270.1,124.1,46.5,"2,135.80",6.3
Scotland,2000 Q4 (end December),Thousands,Total,207.8,217.5,215.4,198.2,184.1,176.9,534.9,281.3,128.7,48.8,"2,193.50",6.2
Scotland,2001 Q4 (end December),Thousands,Total,235.6,226.1,212.8,202.5,194.4,176.9,563,261.4,138.8,51.2,"2,262.80",6.2
Scotland,2002 Q4 (end December),Thousands,Total,250.1,255.9,217.1,198.1,201.6,186.8,583.3,235.9,147.5,54.1,"2,330.40",6.1
Scotland,2003 Q4 (end December),Thousands,Total,251.1,268.8,241.2,202.4,193.7,192.4,598.8,228.9,149.4,56.4,"2,383.10",6
Scotland,2004 Q4 (end December),Thousands,Total,240.2,268.8,259.4,232.9,201.3,186.3,618.4,238.3,144.5,58.6,"2,448.60",6
Scotland,2005 Q4 (end December),Thousands,Total,235.5,274.7,266.5,252.2,230.3,193.1,628,250.9,141.4,59.3,"2,531.90",6
Scotland,2006 Q4 (end December),Thousands,Total,229.2,265.5,270.2,253.7,246.9,218.5,633,247.4,141.1,58.9,"2,564.30",6
Scotland,2007 Q4 (end December),Thousands,Total,235.6,263.6,261.6,256.6,248.7,235.8,661.3,257.8,146.4,59.6,"2,627.00",6.1
Scotland,2008 Q4 (end December),Thousands,Total,208.9,275,265.1,248.2,253.7,238.3,701.6,265.5,151.2,57.6,"2,665.20",6.2
Scotland,2009 Q4 (end December),Thousands,Total,203.2,238.9,278,251,244,243.3,748,265.1,157.1,57.1,"2,685.70",6.3
Scotland,2010 Q4 (end December),Thousands,Total,203.8,226.4,237.2,259,242.4,231,782.3,277.2,167.5,58,"2,684.70",6.5
Scotland,2011 Q4 (end December),Thousands,Total,197.5,228.1,225.6,222.4,251.6,231.2,791.5,307.8,178.1,57.1,"2,690.90",6.7
Scotland,2012 Q4 (end December),Thousands,Total,209.1,224,228.3,211.2,218.6,240.5,787.1,348.2,193.7,56.5,"2,717.10",6.8
Scotland,2013 Q4 (end December),Thousands,Total,234.3,239.2,223.3,212.9,206.4,206.6,786.1,382,212.9,55.5,"2,759.20",6.9
Scotland,2014 Q4 (end December),Thousands,Total,251.2,267.3,237.3,207.5,207,195.2,747,399.3,243.4,53.7,"2,808.80",6.9
Scotland,2015 Q4 (end December),Thousands,Total,252.5,285.9,264.2,219.7,201.3,194.1,702.1,395.7,282.8,51.6,"2,849.70",7
