Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Urban Traffic,2009,4,mod_4,112.75
Urban Traffic,2010,11,mod_4,148.27272727272728
Urban Traffic,2011,13,mod_4,234.84615384615384
Urban Traffic,2012,15,mod_4,170.2
Urban Traffic,2013,17,mod_4,135.47058823529412
Urban Traffic,2014,14,mod_4,117.78571428571429
Urban Traffic,2015,19,mod_4,77.78947368421052
Urban Traffic,2016,17,mod_4,67.88235294117646
Urban Traffic,2017,17,mod_4,68.88235294117646
Urban Traffic,2018,19,mod_4,49.63157894736842
Urban Traffic,2019,23,mod_4,73.73913043478261
Urban Traffic,2020,22,mod_4,34.13636363636363
Urban Traffic,2021,21,mod_4,17.904761904761905
Urban Traffic,2022,22,mod_4,34.90909090909091
Urban Traffic,2023,23,mod_4,15.695652173913043
Urban Traffic,2024,23,mod_4,4.217391304347826
Urban Traffic,2025,45,mod_4,29.466666666666665
Urban Traffic,2009,4,mod_5,65.5
Urban Traffic,2010,11,mod_5,70.36363636363636
Urban Traffic,2011,13,mod_5,150.46153846153845
Urban Traffic,2012,15,mod_5,102.86666666666666
Urban Traffic,2013,17,mod_5,81.6470588235294
Urban Traffic,2014,14,mod_5,63.42857142857143
Urban Traffic,2015,19,mod_5,47
Urban Traffic,2016,17,mod_5,37.8235294117647
Urban Traffic,2017,17,mod_5,48.05882352941177
Urban Traffic,2018,19,mod_5,22.42105263157895
Urban Traffic,2019,23,mod_5,51.21739130434783
Urban Traffic,2020,22,mod_5,11.818181818181818
Urban Traffic,2021,21,mod_5,12.666666666666666
Urban Traffic,2022,22,mod_5,13.090909090909092
Urban Traffic,2023,23,mod_5,1.3043478260869565
Urban Traffic,2024,23,mod_5,2.0434782608695654
Urban Traffic,2025,45,mod_5,13.11111111111111
Urban Traffic,2009,4,mod_6,30.5
Urban Traffic,2010,11,mod_6,50.63636363636363
Urban Traffic,2011,13,mod_6,105.23076923076923
Urban Traffic,2012,15,mod_6,51.8
Urban Traffic,2013,17,mod_6,44.588235294117645
Urban Traffic,2014,14,mod_6,41.57142857142857
Urban Traffic,2015,19,mod_6,33.1578947368421
Urban Traffic,2016,17,mod_6,21.823529411764707
Urban Traffic,2017,17,mod_6,36.529411764705884
Urban Traffic,2018,19,mod_6,12.473684210526315
Urban Traffic,2019,23,mod_6,28.26086956521739
Urban Traffic,2020,22,mod_6,6.090909090909091
Urban Traffic,2021,21,mod_6,6.285714285714286
Urban Traffic,2022,22,mod_6,8.090909090909092
Urban Traffic,2023,23,mod_6,0
Urban Traffic,2024,23,mod_6,1.9130434782608696
Urban Traffic,2025,45,mod_6,5.844444444444444
Urban Traffic,2009,4,high_7,10.25
Urban Traffic,2010,11,high_7,30
Urban Traffic,2011,13,high_7,55.76923076923077
Urban Traffic,2012,15,high_7,28.8
Urban Traffic,2013,17,high_7,22.176470588235293
Urban Traffic,2014,14,high_7,22.928571428571427
Urban Traffic,2015,19,high_7,16.94736842105263
Urban Traffic,2016,17,high_7,11.470588235294118
Urban Traffic,2017,17,high_7,10.823529411764707
Urban Traffic,2018,19,high_7,5.894736842105263
Urban Traffic,2019,23,high_7,9.347826086956522
Urban Traffic,2020,22,high_7,3.227272727272727
Urban Traffic,2021,21,high_7,1.9523809523809523
Urban Traffic,2022,22,high_7,4.818181818181818
Urban Traffic,2023,23,high_7,0
Urban Traffic,2024,23,high_7,0.782608695652174
Urban Traffic,2025,45,high_7,1.5555555555555556
Urban Traffic,2009,4,high_8,0.5
Urban Traffic,2010,11,high_8,13.363636363636363
Urban Traffic,2011,13,high_8,42.15384615384615
Urban Traffic,2012,15,high_8,20.066666666666666
Urban Traffic,2013,17,high_8,14.529411764705882
Urban Traffic,2014,14,high_8,21.571428571428573
Urban Traffic,2015,19,high_8,9.68421052631579
Urban Traffic,2016,17,high_8,6.882352941176471
Urban Traffic,2017,17,high_8,3.6470588235294117
Urban Traffic,2018,19,high_8,3.8421052631578947
Urban Traffic,2019,23,high_8,4.913043478260869
Urban Traffic,2020,22,high_8,4.409090909090909
Urban Traffic,2021,21,high_8,0.2857142857142857
Urban Traffic,2022,22,high_8,4.363636363636363
Urban Traffic,2023,23,high_8,0
Urban Traffic,2024,23,high_8,0.8260869565217391
Urban Traffic,2025,45,high_8,1.8888888888888888
Urban Traffic,2009,4,high_9,0
Urban Traffic,2010,11,high_9,6.2727272727272725
Urban Traffic,2011,13,high_9,17.615384615384617
Urban Traffic,2012,15,high_9,12.733333333333333
Urban Traffic,2013,17,high_9,7.411764705882353
Urban Traffic,2014,14,high_9,12
Urban Traffic,2015,19,high_9,0.8421052631578947
Urban Traffic,2016,17,high_9,4.470588235294118
Urban Traffic,2017,17,high_9,1.8235294117647058
Urban Traffic,2018,19,high_9,0.9473684210526315
Urban Traffic,2019,23,high_9,0.6086956521739131
Urban Traffic,2020,22,high_9,2.727272727272727
Urban Traffic,2021,21,high_9,0
Urban Traffic,2022,22,high_9,2
Urban Traffic,2023,23,high_9,0
Urban Traffic,2024,23,high_9,0.17391304347826086
Urban Traffic,2025,45,high_9,0.7111111111111111
Urban Traffic,2009,4,vhigh_10,0
Urban Traffic,2010,11,vhigh_10,8.181818181818182
Urban Traffic,2011,13,vhigh_10,20.23076923076923
Urban Traffic,2012,15,vhigh_10,6.666666666666667
Urban Traffic,2013,17,vhigh_10,4.470588235294118
Urban Traffic,2014,14,vhigh_10,8.357142857142858
Urban Traffic,2015,19,vhigh_10,0
Urban Traffic,2016,17,vhigh_10,3.764705882352941
Urban Traffic,2017,17,vhigh_10,7.647058823529412
Urban Traffic,2018,19,vhigh_10,3.8421052631578947
Urban Traffic,2019,23,vhigh_10,0.8260869565217391
Urban Traffic,2020,22,vhigh_10,2.5454545454545454
Urban Traffic,2021,21,vhigh_10,0
Urban Traffic,2022,22,vhigh_10,0.9090909090909091
Urban Traffic,2023,23,vhigh_10,0
Urban Traffic,2024,23,vhigh_10,0.6086956521739131
Urban Traffic,2025,45,vhigh_10,0.8
