Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Urban Background,2008,43,high_7,0.18604651162790697
Urban Background,2009,41,high_7,0.21951219512195122
Urban Background,2010,42,high_7,0
Urban Background,2011,43,high_7,0
Urban Background,2012,42,high_7,0.047619047619047616
Urban Background,2013,41,high_7,0.024390243902439025
Urban Background,2014,42,high_7,0
Urban Background,2015,42,high_7,0.42857142857142855
Urban Background,2016,41,high_7,0
Urban Background,2017,41,high_7,0.21951219512195122
Urban Background,2018,42,high_7,0.6190476190476191
Urban Background,2019,39,high_7,1.5897435897435896
Urban Background,2020,39,high_7,1.9743589743589745
Urban Background,2021,38,high_7,0
Urban Background,2022,40,high_7,1.45
Urban Background,2023,51,high_7,0.8823529411764706
Urban Background,2024,60,high_7,0
Urban Background,2025,61,high_7,0.16393442622950818
Urban Background,1992,4,high_8,0
Urban Background,1993,8,high_8,0
Urban Background,1994,13,high_8,0
Urban Background,1995,12,high_8,0.25
Urban Background,1996,18,high_8,0.1111111111111111
Urban Background,1997,31,high_8,0.22580645161290322
Urban Background,1998,42,high_8,0
Urban Background,1999,42,high_8,0.2857142857142857
Urban Background,2000,41,high_8,0
Urban Background,2001,43,high_8,0.09302325581395349
Urban Background,2002,45,high_8,0
Urban Background,2003,47,high_8,0.7659574468085106
Urban Background,2004,50,high_8,0
Urban Background,2005,49,high_8,0
Urban Background,2006,48,high_8,1.6041666666666667
Urban Background,2007,45,high_8,0
Urban Background,2008,43,high_8,0
Urban Background,2009,41,high_8,0
Urban Background,2010,42,high_8,0
Urban Background,2011,43,high_8,0
Urban Background,2012,42,high_8,0
Urban Background,2013,41,high_8,0
Urban Background,2014,42,high_8,0
Urban Background,2015,42,high_8,0
Urban Background,2016,41,high_8,0
Urban Background,2017,41,high_8,0
Urban Background,2018,42,high_8,0
Urban Background,2019,39,high_8,0.07692307692307693
Urban Background,2020,39,high_8,0
Urban Background,2021,38,high_8,0
Urban Background,2022,40,high_8,0
Urban Background,2023,51,high_8,0
Urban Background,2024,60,high_8,0
Urban Background,2025,61,high_8,0
Urban Background,1992,4,high_9,0
Urban Background,1993,8,high_9,0
Urban Background,1994,13,high_9,0
Urban Background,1995,12,high_9,0
Urban Background,1996,18,high_9,0
Urban Background,1997,31,high_9,0
Urban Background,1998,42,high_9,0
Urban Background,1999,42,high_9,0.09523809523809523
Urban Background,2000,41,high_9,0
Urban Background,2001,43,high_9,0
Urban Background,2002,45,high_9,0
Urban Background,2003,47,high_9,0
Urban Background,2004,50,high_9,0
Urban Background,2005,49,high_9,0
Urban Background,2006,48,high_9,0.125
Urban Background,2007,45,high_9,0
Urban Background,2008,43,high_9,0
Urban Background,2009,41,high_9,0
Urban Background,2010,42,high_9,0
Urban Background,2011,43,high_9,0
Urban Background,2012,42,high_9,0
Urban Background,2013,41,high_9,0
Urban Background,2014,42,high_9,0
Urban Background,2015,42,high_9,0
Urban Background,2016,41,high_9,0
Urban Background,2017,41,high_9,0
Urban Background,2018,42,high_9,0
Urban Background,2019,39,high_9,0
Urban Background,2020,39,high_9,0
Urban Background,2021,38,high_9,0
Urban Background,2022,40,high_9,0
Urban Background,2023,51,high_9,0
Urban Background,2024,60,high_9,0
Urban Background,2025,61,high_9,0
Urban Background,1992,4,vhigh_10,0
Urban Background,1993,8,vhigh_10,0
Urban Background,1994,13,vhigh_10,0
Urban Background,1995,12,vhigh_10,0
Urban Background,1996,18,vhigh_10,0
Urban Background,1997,31,vhigh_10,0
Urban Background,1998,42,vhigh_10,0
Urban Background,1999,42,vhigh_10,0
Urban Background,2000,41,vhigh_10,0
Urban Background,2001,43,vhigh_10,0
Urban Background,2002,45,vhigh_10,0
Urban Background,2003,47,vhigh_10,0
Urban Background,2004,50,vhigh_10,0
Urban Background,2005,49,vhigh_10,0
Urban Background,2006,48,vhigh_10,0
Urban Background,2007,45,vhigh_10,0
Urban Background,2008,43,vhigh_10,0
Urban Background,2009,41,vhigh_10,0
Urban Background,2010,42,vhigh_10,0
Urban Background,2011,43,vhigh_10,0
Urban Background,2012,42,vhigh_10,0
Urban Background,2013,41,vhigh_10,0
Urban Background,2014,42,vhigh_10,0
Urban Background,2015,42,vhigh_10,0
Urban Background,2016,41,vhigh_10,0
Urban Background,2017,41,vhigh_10,0
Urban Background,2018,42,vhigh_10,0
Urban Background,2019,39,vhigh_10,0
Urban Background,2020,39,vhigh_10,0
Urban Background,2021,38,vhigh_10,0
Urban Background,2022,40,vhigh_10,0
Urban Background,2023,51,vhigh_10,0
Urban Background,2024,60,vhigh_10,0
Urban Background,2025,61,vhigh_10,0
