Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Urban Background,1992,2,mod_4,400.5
Urban Background,1993,5,mod_4,403.4
Urban Background,1994,13,mod_4,367.3076923076923
Urban Background,1995,13,mod_4,342.3076923076923
Urban Background,1996,16,mod_4,348.125
Urban Background,1997,26,mod_4,309.5
Urban Background,1998,33,mod_4,189.72727272727272
Urban Background,1999,33,mod_4,125.18181818181819
Urban Background,2000,34,mod_4,101.82352941176471
Urban Background,2001,43,mod_4,120.81395348837209
Urban Background,2002,39,mod_4,90.53846153846153
Urban Background,2003,38,mod_4,227.44736842105263
Urban Background,2004,39,mod_4,73.1025641025641
Urban Background,2005,36,mod_4,72.11111111111111
Urban Background,2006,39,mod_4,119.35897435897436
Urban Background,2007,32,mod_4,102.375
Urban Background,2008,28,mod_4,75.67857142857143
Urban Background,2009,21,mod_4,64.28571428571429
Urban Background,2010,19,mod_4,64.73684210526316
Urban Background,2011,24,mod_4,115.16666666666667
Urban Background,2012,25,mod_4,73.56
Urban Background,2013,20,mod_4,51.45
Urban Background,2014,23,mod_4,55.82608695652174
Urban Background,2015,23,mod_4,53.78260869565217
Urban Background,2016,22,mod_4,35.09090909090909
Urban Background,2017,24,mod_4,41.333333333333336
Urban Background,2018,22,mod_4,17.454545454545453
Urban Background,2019,26,mod_4,68.46153846153847
Urban Background,2020,40,mod_4,13.025
Urban Background,2021,38,mod_4,10.894736842105264
Urban Background,2022,44,mod_4,35.04545454545455
Urban Background,2023,53,mod_4,8.79245283018868
Urban Background,2024,57,mod_4,6.684210526315789
Urban Background,2025,69,mod_4,19.695652173913043
Urban Background,1992,2,mod_5,202.5
Urban Background,1993,5,mod_5,306
Urban Background,1994,13,mod_5,224.46153846153845
Urban Background,1995,13,mod_5,222.69230769230768
Urban Background,1996,16,mod_5,229.3125
Urban Background,1997,26,mod_5,150.3846153846154
Urban Background,1998,33,mod_5,84.96969696969697
Urban Background,1999,33,mod_5,45.121212121212125
Urban Background,2000,34,mod_5,40.76470588235294
Urban Background,2001,43,mod_5,54.44186046511628
Urban Background,2002,39,mod_5,42.82051282051282
Urban Background,2003,38,mod_5,127.57894736842105
Urban Background,2004,39,mod_5,21.487179487179485
Urban Background,2005,36,mod_5,25.194444444444443
Urban Background,2006,39,mod_5,51.56410256410256
Urban Background,2007,32,mod_5,57.0625
Urban Background,2008,28,mod_5,40
Urban Background,2009,21,mod_5,36.476190476190474
Urban Background,2010,19,mod_5,17.31578947368421
Urban Background,2011,24,mod_5,63.375
Urban Background,2012,25,mod_5,45.96
Urban Background,2013,20,mod_5,27.05
Urban Background,2014,23,mod_5,24.130434782608695
Urban Background,2015,23,mod_5,26.304347826086957
Urban Background,2016,22,mod_5,20.454545454545453
Urban Background,2017,24,mod_5,16.291666666666668
Urban Background,2018,22,mod_5,10.136363636363637
Urban Background,2019,26,mod_5,28.576923076923077
Urban Background,2020,40,mod_5,7.275
Urban Background,2021,38,mod_5,3.763157894736842
Urban Background,2022,44,mod_5,14.636363636363637
Urban Background,2023,53,mod_5,2.509433962264151
Urban Background,2024,57,mod_5,2.719298245614035
Urban Background,2025,69,mod_5,7.826086956521739
Urban Background,1992,2,mod_6,132
Urban Background,1993,5,mod_6,250.6
Urban Background,1994,13,mod_6,164.84615384615384
Urban Background,1995,13,mod_6,164.76923076923077
Urban Background,1996,16,mod_6,161
Urban Background,1997,26,mod_6,92.07692307692308
Urban Background,1998,33,mod_6,52.60606060606061
Urban Background,1999,33,mod_6,19.272727272727273
Urban Background,2000,34,mod_6,17.647058823529413
Urban Background,2001,43,mod_6,29.3953488372093
Urban Background,2002,39,mod_6,16.41025641025641
Urban Background,2003,38,mod_6,70.36842105263158
Urban Background,2004,39,mod_6,6.384615384615385
Urban Background,2005,36,mod_6,12.694444444444445
Urban Background,2006,39,mod_6,25.333333333333332
Urban Background,2007,32,mod_6,40.59375
Urban Background,2008,28,mod_6,27.214285714285715
Urban Background,2009,21,mod_6,15.095238095238095
Urban Background,2010,19,mod_6,9.947368421052632
